Date,yield_10Y,yield_15Y,SPLB
2021-01-04,1.84,2.34,26.856651306152344
2021-01-05,1.89,2.39,26.701221466064453
2021-01-06,1.96,2.47,26.341279983520508
2021-01-07,1.97,2.48,26.31673240661621
2021-01-08,2.0,2.5,26.27583122253418
2021-01-11,2.02,2.52,26.169479370117188
2021-01-12,2.03,2.53,26.234922409057617
2021-01-13,1.97,2.47,26.594873428344727
2021-01-14,1.99,2.49,26.398548126220703
2021-01-15,1.96,2.46,26.423076629638672
2021-01-18,1.97,2.46,
2021-01-19,1.95,2.44,26.53759765625
2021-01-20,1.95,2.43,26.50489044189453
2021-01-21,1.97,2.46,26.365819931030273
2021-01-22,1.97,2.46,26.300373077392575
2021-01-25,1.93,2.42,26.52124786376953
2021-01-26,1.93,2.42,26.53759765625
2021-01-27,1.92,2.41,26.472166061401367
2021-01-28,1.95,2.44,26.431264877319336
2021-01-29,1.99,2.48,26.30855369567871
2021-01-31,2.01,2.52,
2021-02-01,1.99,2.5,26.36678123474121
2021-02-02,2.01,2.52,26.260168075561523
2021-02-03,2.02,2.53,26.11254119873047
2021-02-04,2.02,2.53,26.169950485229492
2021-02-05,2.03,2.54,26.038738250732425
2021-02-08,2.01,2.52,26.227365493774418
2021-02-09,2.01,2.51,26.169950485229492
2021-02-10,1.98,2.49,26.27657127380371
2021-02-11,1.99,2.5,26.153547286987305
2021-02-12,2.03,2.54,25.981325149536133
2021-02-15,2.03,2.54,
2021-02-16,2.1,2.61,25.743492126464844
2021-02-17,2.1,2.61,25.94851875305176
2021-02-18,2.09,2.6,25.85831069946289
2021-02-19,2.14,2.65,25.563068389892575
2021-02-22,2.19,2.7,25.243223190307617
2021-02-23,2.2,2.72,25.308834075927734
2021-02-24,2.21,2.73,25.325231552124023
2021-02-25,2.33,2.84,24.800355911254883
2021-02-26,2.3,2.79,25.423643112182617
2021-02-28,2.31,2.82,
2021-03-01,2.29,2.81,25.37431526184082
2021-03-02,2.26,2.78,25.283864974975582
2021-03-03,2.32,2.83,25.037189483642575
2021-03-04,2.41,2.92,24.716522216796875
2021-03-05,2.46,2.96,24.69186019897461
2021-03-08,2.52,3.01,24.395845413208008
2021-03-09,2.5,2.99,24.708297729492188
2021-03-10,2.47,2.95,24.88918685913086
2021-03-11,2.46,2.95,24.88096809387207
2021-03-12,2.56,3.05,24.37940216064453
2021-03-15,2.53,3.03,24.510963439941406
2021-03-16,2.54,3.04,24.461626052856445
2021-03-17,2.56,3.06,24.461626052856445
2021-03-18,2.62,3.12,24.247846603393555
2021-03-19,2.62,3.12,24.362953186035156
2021-03-22,2.57,3.07,24.535627365112305
2021-03-23,2.54,3.04,24.650739669799805
2021-03-24,2.52,3.03,24.76586151123047
2021-03-25,2.52,3.03,24.683631896972656
2021-03-26,2.55,3.05,24.683631896972656
2021-03-29,2.6,3.1,24.568523406982425
2021-03-30,2.59,3.09,24.73296356201172
2021-03-31,2.6,3.1,24.806962966918945
2021-04-01,2.53,3.02,25.086441040039062
2021-04-02,,,
2021-04-05,2.56,3.05,24.913311004638672
2021-04-06,2.5,3.0,25.160629272460938
2021-04-07,2.5,3.0,25.003999710083008
2021-04-08,2.48,2.97,25.18536376953125
2021-04-09,2.5,3.0,25.127655029296875
2021-04-12,2.51,3.01,25.111162185668945
2021-04-13,2.46,2.96,25.25955390930176
2021-04-14,2.47,2.96,25.21009635925293
2021-04-15,2.37,2.86,25.482154846191406
2021-04-16,2.42,2.91,25.226585388183594
2021-04-19,2.45,2.95,25.094682693481445
2021-04-20,2.43,2.93,25.18536376953125
2021-04-21,2.43,2.92,25.300785064697266
2021-04-22,2.41,2.91,25.34200096130371
2021-04-23,2.42,2.91,25.383224487304688
